amfi_code,scheme_name,last_nav,forecast_nav_1yr,projected_return_1yr_pct,cagr_5yr_actual,cagr_5yr_forecast
148567,Mirae Asset Large Cap Fund - Regular - Growth,230.27,230.51,0.1,Insufficient Data,24.61
120843,Kotak Flexicap Fund - Regular - Growth,163.24,162.68,-0.34,Insufficient Data,24.46
120505,ICICI Pru Midcap Fund - Regular - Growth,473.76,474.03,0.06,Insufficient Data,26.04
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,342.01,342.82,0.24,Insufficient Data,23.98
120504,ICICI Pru Bluechip Fund - Direct - Growth,151.13,151.05,-0.05,Insufficient Data,18.59
119094,Axis Midcap Fund - Regular - Growth,203.86,204.02,0.08,Insufficient Data,22.46
119551,SBI Bluechip Fund - Regular Plan - Growth,149.32,149.21,-0.07,Insufficient Data,20.55
148569,Mirae Asset Tax Saver Fund - Regular - Growth,97.74,98.37,0.64,Insufficient Data,25.49
101206,ABSL Frontline Equity Fund - Regular - Growth,773.29,772.64,-0.08,Insufficient Data,18.78
149323,DSP Midcap Fund - Regular - Growth,245.37,245.3,-0.03,Insufficient Data,23.5
