amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,scheme_name,fund_house,rank_3yr
119094,22.261065131342207,35.11180209642853,,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,1.0
148567,20.360678307711865,34.00091602163293,,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,2.0
120504,13.064279264417976,32.48742855621496,,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,3.0
100033,53.23239623092084,32.442459421956116,,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,4.0
120505,29.604659337893647,31.777537151234704,,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,5.0
119551,60.43734071403091,30.456524420302888,,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,6.0
120843,26.657081760850154,29.58277033726251,,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,7.0
148569,39.75176148971702,29.178901578393777,,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,8.0
101206,47.92412023860102,28.96769452874166,,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,9.0
149324,65.13871892998797,27.000426614519245,,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,10.0
149323,21.481222193726257,26.869990828902203,,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,11.0
119598,82.77605861507405,26.66992200118774,,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,12.0
102887,13.5831349444816,25.556187904126524,,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,13.0
118632,33.9810484550213,22.652359830098632,,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0
118633,25.539980483954096,21.08997654925684,,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,15.0
119093,19.7667410165155,20.816771175535862,,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,16.0
118635,22.493224932249344,20.00820838047148,,Nippon India ETF Nifty 50 BeES,Nippon India MF,17.0
102885,20.207703983094838,19.66726206830185,,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,18.0
125497,28.67535802656873,18.434488610520173,,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,19.0
120506,41.81904829701364,18.421996537444542,,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,20.0
149322,18.11115252275146,18.04420648663614,,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,21.0
120841,16.837098075385626,17.26727508371786,,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,22.0
119552,5.706100044974027,16.267372294624916,,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,23.0
148568,14.269394138778924,14.748035533586012,,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,24.0
120503,8.489081269294418,13.978381933703044,,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,25.0
125498,15.443720834451845,11.245222866621418,,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,26.0
118634,15.811221971300938,8.007927728656083,,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,27.0
120842,22.50195657587366,7.756003551327284,,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,28.0
120507,7.42505077613469,7.394286300360076,,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,29.0
120844,7.120323042122512,6.695971624586994,,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,30.0
101208,7.23664530138024,6.315784491375509,,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,31.0
119120,5.5219955107626895,5.840358798463097,,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,32.0
118636,10.454939683040276,4.062205023777143,,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,33.0
100025,3.704968580461343,3.9163899571040384,,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,34.0
100016,-2.224270997710287,1.292649342495622,,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,35.0
119092,1.6091186722522632,0.5258871209757432,,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,36.0
102886,-16.797480944407305,-0.7674063178547241,,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,37.0
119599,13.947803355189968,-1.337386614488112,,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,38.0
101207,-23.986031710270627,-4.152381044854481,,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,39.0
119095,-42.797614558854406,-11.705806723995272,,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,40.0
