amfi_code,scheme_name,fund_house,category,expense_ratio_pct,cagr_3yr,sharpe_ratio,alpha_pct,max_drawdown_pct,cagr_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,cagr_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,overall_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,34.00091602163293,1.448291170326253,26.983751441917885,-11.265729075028275,2.0,1.0,7.0,20.0,8.0,39.0,40.0,34.0,21.0,33.0,100.0,1.0
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,29.58277033726251,1.306743969542841,27.330465038305977,-12.97396816518679,7.0,2.0,5.0,19.0,13.0,34.0,39.0,36.0,22.0,28.0,95.14,2.0
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,31.777537151234704,1.180101197660648,29.263583341750955,-18.18851357211629,5.0,5.0,3.0,14.0,25.0,36.0,36.0,38.0,27.0,16.0,94.56,3.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,32.44245942195612,1.0936987435346328,27.1953545012853,-16.217208574644847,4.0,7.0,6.0,15.0,20.0,37.0,34.0,35.0,26.0,21.0,93.28,4.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,32.48742855621496,1.026524284799298,21.19482701352564,-12.588275606922515,3.0,10.0,13.0,11.0,12.0,38.0,31.0,28.0,30.0,29.0,91.99,5.0
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,35.11180209642853,0.99823098686364,26.076669080042137,-20.960883862039196,1.0,11.0,9.0,15.0,28.0,40.0,30.0,32.0,26.0,13.0,88.98,6.0
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,30.456524420302888,1.2082665673727138,23.20100716063496,-15.012385498645331,6.0,4.0,10.0,24.0,17.0,35.0,37.0,31.0,17.0,24.0,88.41,7.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,29.178901578393777,1.234930025774331,28.27036785246577,-16.39674294693263,8.0,3.0,4.0,29.0,21.0,33.0,38.0,37.0,12.0,20.0,87.55,8.0
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,28.96769452874166,1.0272133278753697,21.39978477605115,-11.291596329323072,9.0,9.0,12.0,29.0,9.0,32.0,32.0,29.0,12.0,32.0,81.26,9.0
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.61,26.869990828902203,1.132121852474721,26.598577542042907,-17.24810575345138,11.0,6.0,8.0,30.0,22.0,30.0,35.0,33.0,11.0,19.0,79.83,10.0
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,26.66992200118774,0.9453082575156092,30.336965386983252,-28.706005721764548,12.0,14.0,1.0,18.0,36.0,29.0,27.0,40.0,23.0,5.0,78.4,11.0
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.52,27.000426614519245,0.9497958246616012,30.05787817097667,-31.171900300634213,10.0,13.0,2.0,22.0,37.0,31.0,28.0,39.0,19.0,4.0,78.25,12.0
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1.51,22.652359830098632,1.081659179345704,21.82939790460857,-17.41407508665723,14.0,8.0,11.0,21.0,23.0,27.0,33.0,30.0,20.0,18.0,77.68,13.0
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.66,16.267372294624916,0.9532794968660092,19.868599366862885,-11.803493502764296,23.0,12.0,15.0,4.0,11.0,18.0,29.0,26.0,37.0,30.0,75.54,14.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.92,18.434488610520173,0.7757902498211185,17.729754927531687,-15.200013055606398,19.0,18.0,16.0,13.0,18.0,22.0,23.0,25.0,28.0,23.0,68.24,15.0
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.89,20.00820838047148,0.6648569985490604,15.136354648239184,-11.650624505409091,17.0,19.0,23.0,12.0,10.0,24.0,22.0,18.0,29.0,31.0,67.95,16.0
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.72,21.08997654925684,0.6452074382933202,15.64383594816961,-18.62974313859551,15.0,21.0,22.0,5.0,26.0,26.0,20.0,19.0,36.0,15.0,67.24,17.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,1.57,19.66726206830185,0.8170993373494354,17.04875680341263,-10.85986215250232,18.0,16.0,19.0,27.0,7.0,23.0,25.0,22.0,14.0,34.0,65.95,18.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,1.52,14.748035533586012,0.9262873467360144,20.873010086942276,-15.27259422823477,24.0,15.0,14.0,22.0,19.0,17.0,26.0,27.0,19.0,22.0,63.09,19.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,1.42,13.978381933703044,0.7979728586052822,17.70330236584399,-13.897862823061637,25.0,17.0,17.0,17.0,14.0,16.0,24.0,24.0,24.0,27.0,62.66,20.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,1.41,18.421996537444542,0.6488787755249534,16.253853279981,-19.82565826298267,20.0,20.0,20.0,16.0,27.0,21.0,21.0,21.0,25.0,14.0,59.8,21.0
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.64,25.556187904126524,0.6195175900829826,16.21125679403321,-21.539827112383225,13.0,22.0,21.0,31.0,30.0,28.0,19.0,20.0,10.0,11.0,56.51,22.0
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,7.394286300360076,0.4957233929519098,6.746210411098824,-0.0977314004592555,29.0,23.0,31.0,6.0,1.0,12.0,18.0,10.0,35.0,40.0,55.36,23.0
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.75,20.816771175535862,0.1296144979566888,8.232801295222025,-21.751396370148225,16.0,29.0,28.0,7.0,31.0,25.0,12.0,13.0,34.0,10.0,54.94,24.0
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1.54,18.04420648663614,0.4640374492204747,13.17319022609936,-14.844576917771748,21.0,25.0,24.0,24.0,16.0,20.0,16.0,17.0,17.0,25.0,52.79,25.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.78,11.245222866621418,0.3006119210425448,11.9891009712179,-21.11727956013212,26.0,27.0,26.0,9.0,29.0,15.0,14.0,15.0,32.0,12.0,48.64,26.0
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.59,17.26727508371786,0.4942725378672308,13.042924450705362,-17.57361416468729,22.0,24.0,25.0,28.0,24.0,19.0,17.0,16.0,13.0,17.0,48.07,27.0
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,6.695971624586994,-0.0887472962169809,6.45567749537528,-0.1162932795616855,30.0,34.0,32.0,3.0,2.0,11.0,7.0,9.0,38.0,39.0,47.07,28.0
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1.53,8.007927728656083,0.4484340089089892,17.500721675611196,-23.34488614483311,27.0,26.0,18.0,23.0,32.0,14.0,15.0,23.0,18.0,9.0,46.21,29.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,4.062205023777143,-0.3566295075144003,5.074772999975999,-8.316361763638703,33.0,38.0,35.0,1.0,6.0,8.0,3.0,6.0,40.0,35.0,39.63,30.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,5.840358798463097,-0.2265753866279454,5.620895216638266,-4.328728923970093,32.0,37.0,34.0,8.0,5.0,9.0,4.0,7.0,33.0,36.0,39.06,31.0
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,6.315784491375509,-0.8155673679101643,6.086145795786478,-0.1622498024471785,31.0,40.0,33.0,10.0,3.0,10.0,1.0,8.0,31.0,38.0,38.05,32.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,3.9163899571040384,-0.5670947928477084,4.28179203150603,-4.308263824636349,34.0,39.0,38.0,2.0,4.0,7.0,2.0,3.0,39.0,37.0,36.48,33.0
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.56,7.756003551327284,0.0759998480465842,7.804438876154987,-24.00351132627489,28.0,30.0,29.0,26.0,33.0,13.0,11.0,12.0,15.0,8.0,34.62,34.0
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.64,0.5258871209757432,0.0307848509545839,6.899529821677521,-14.40161790933726,36.0,31.0,30.0,31.0,15.0,5.0,10.0,11.0,10.0,26.0,29.47,35.0
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.53,-4.152381044854481,0.1626607692864674,10.89709190170452,-35.44691649336603,39.0,28.0,27.0,23.0,38.0,2.0,13.0,14.0,18.0,3.0,27.61,36.0
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,-1.337386614488112,-0.0571866258281818,4.88242159455394,-52.57422117012851,38.0,32.0,36.0,5.0,40.0,3.0,9.0,5.0,36.0,1.0,27.61,36.0
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,-11.705806723995272,-0.0759735711747893,4.801595363775957,-51.677753708526566,40.0,33.0,37.0,15.0,39.0,1.0,8.0,4.0,26.0,2.0,20.6,37.0
