amfi_code,max_drawdown_pct,worst_drawdown_date,scheme_name,fund_house,category,drawdown_rank
119599,-52.57422117012851,2025-10-28,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,40.0
119095,-51.677753708526566,2026-05-11,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,39.0
101207,-35.44691649336603,2026-05-11,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,38.0
149324,-31.171900300634213,2025-01-03,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,37.0
119598,-28.706005721764548,2025-05-14,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,36.0
102886,-28.00112356639287,2026-04-27,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,35.0
100016,-24.734440880673304,2022-09-15,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,34.0
120842,-24.003511326274886,2024-10-17,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,33.0
118634,-23.34488614483311,2026-02-20,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,32.0
119093,-21.751396370148225,2023-05-22,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,31.0
102887,-21.539827112383225,2022-07-04,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,30.0
125498,-21.11727956013212,2025-09-12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,29.0
119094,-20.960883862039193,2022-08-11,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,28.0
120506,-19.82565826298267,2023-08-14,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,27.0
118633,-18.62974313859551,2024-02-29,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,26.0
120505,-18.188513572116292,2025-01-23,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,25.0
120841,-17.57361416468729,2025-02-14,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,24.0
118632,-17.41407508665723,2024-07-19,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,23.0
149323,-17.24810575345138,2022-10-24,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,22.0
148569,-16.39674294693263,2023-10-20,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,21.0
100033,-16.217208574644847,2022-05-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,20.0
148568,-15.27259422823477,2024-01-24,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,19.0
125497,-15.200013055606398,2025-01-01,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,18.0
119551,-15.012385498645331,2024-02-05,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,17.0
149322,-14.844576917771747,2022-02-04,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,16.0
119092,-14.401617909337261,2025-02-07,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,15.0
120503,-13.897862823061635,2023-11-09,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,14.0
120843,-12.97396816518679,2022-04-13,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,13.0
120504,-12.588275606922517,2023-05-30,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,12.0
119552,-11.803493502764296,2024-09-02,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,11.0
118635,-11.650624505409091,2022-06-09,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,10.0
101206,-11.291596329323072,2023-07-05,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,9.0
148567,-11.265729075028275,2023-10-20,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,8.0
102885,-10.85986215250232,2022-03-29,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,7.0
118636,-8.316361763638703,2024-02-09,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,6.0
119120,-4.328728923970093,2025-04-01,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.0
100025,-4.308263824636349,2023-07-28,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,4.0
101208,-0.16224980244717857,2023-09-12,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,3.0
120844,-0.11629327956168556,2024-04-30,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,2.0
120507,-0.09773140045925555,2025-10-20,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,1.0
